102,109,13950
115,136,17450
110,136,17710
140,131,23875
101,108,16430
101,108,16925
121,164,20970
121,164,21105
48,61,5151
70,90,6295
70,90,6575
68,90,5572
68,90,6377
102,98,7957
68,90,6229
68,90,6692
68,90,7609
88,122,8921
145,156,12964
58,92,6479
76,92,6855
60,79,5399
76,92,6529
76,92,7129
76,92,7295
76,92,7295
86,110,7895
86,110,9095
86,110,8845
86,110,10295
101,110,12945
100,110,10345
176,258,32250
68,91,5195
68,91,6095
68,91,6795
68,91,6695
68,91,7395
84,122,8845
84,122,8495
84,122,10595
84,122,10245
84,122,11245
120,140,18280
123,183,25552
123,183,28248
123,183,28176
123,183,31600
155,234,35056
68,92,5389
68,92,6189
68,92,6669
102,98,7689
116,110,9959
88,122,8499
88,122,6989
88,122,8189
69,97,5499
55,103,7099
69,97,6649
69,97,6849
69,97,7349
69,97,7299
69,97,7799
69,97,7499
69,97,7999
69,97,8249
97,120,8949
97,120,9549
152,181,13499
152,181,14399
152,181,13499
160,181,17199
200,181,19699
160,181,18399
97,120,11900
95,152,13200
95,120,15580
95,152,16900
97,120,16630
95,152,17950
142,134,18150
68,90,5572
102,98,7957
68,90,6229
68,90,6692
68,98,7609
88,122,8921
143,151,22018
110,121,11850
110,121,12170
110,121,15040
110,121,15510
160,121,18150
160,121,18620
69,97,5118
73,108,7053
73,108,7603
82,108,7126
82,108,7775
94,108,9960
82,108,9233
111,108,11259
82,108,7463
94,108,10198
82,108,8013
111,108,11694
62,92,5348
62,92,6338
62,92,6488
62,92,6918
62,92,7898
62,92,8778
70,98,6938
70,98,7198
56,110,7898
56,110,7788
70,98,7738
70,98,8358
70,98,9258
70,98,8058
70,98,8238
112,98,9298
112,98,9538
116,146,8449
116,146,9639
116,146,9989
116,146,11199
116,146,11549
116,146,17669
92,122,8948
73,110,10698
92,122,9988
161,171,15998
156,171,15690
52,97,7775
85,109,7975
52,97,7995
85,109,8195
68,97,9495
100,109,9995
90,109,9980
114,141,12940
162,130,18420
162,130,18950
114,141,16845
160,141,19045
134,173,21485
106,145,22470
114,141,22625
